230	0.00001306	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
231	0.00003317	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
232	0.00001879	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
233	0.00001585	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
234	0.00001299	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
235	0.00001788	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
236	0.00001376	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
237	0.00001949	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
238	0.00001439	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
239	0.00001418	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
240	0.00001250	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
241	0.00001390	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
242	0.00003080	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 33 	
243	0.00002870	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
244	0.00001760	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 36 	
245	0.00003310	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
246	0.00001851	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
247	0.00002193	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
248	0.00001418	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
249	0.00003178	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
250	0.00001676	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 0D 	
251	0.00001662	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
